experiment_id,well,timepoint,strain,strain_class,inducer_concentration,total_counts,flow_volume,cells/mL,predicted_output_mean,predicted_output_std,dead,od
r1dvbs7kdxq4md,f8,24.0,UWBF_24962,Experiment,8e-05,9446,60000,157433.33333,0.9960829980944316,0.06246656781171975,1.0,0.03964221216966857
r1dvbs7kdxq4md,g1,18.0,UWBF_23970,Control,0.0,98,60000,1633.3333300000006,0.7755102040816326,0.4193911208716004,0.0,0.03625125328965111
r1dvbs7kdxq4md,g3,24.0,UWBF_24963,Experiment,4e-06,24089,60000,401483.33333,0.996305367595168,0.06067235705130875,1.0,0.048530562375745136
r1dvbs7kdxq4md,g6,24.0,UWBF_24963,Experiment,4e-05,15460,60000,257666.66666999998,0.9973479948253556,0.05143095506727318,1.0,0.04107822365535972
r1dvbs7kdxq4md,g8,24.0,UWBF_24963,Experiment,8e-05,13160,60000,219333.33333000002,0.9903495440729484,0.09776528485671472,1.0,0.03948473384382741
r1dvbs7kdxq4md,h1,22.0,UWBF_23970,Control,0.0,142,60000,2366.66667,0.8661971830985915,0.3416454393565697,0.0,0.03671771856421471
r1dvbs7kdxq4md,h10,18.0,UWBF_24961,Experiment,0.0002,86,60000,1433.3333300000006,0.8720930232558141,0.33594508052243155,1.0,0.03644640113278756
r1dvbs7kdxq4md,h11,24.0,UWBF_24961,Experiment,0.0004,7086,60000,118100.0,0.9952018063787752,0.06910748832359909,1.0,0.03641263136384066
r1dvbs7kdxq4md,h12,24.0,UWBF_24961,Experiment,0.0,4184,60000,69733.33333,0.9923518164435946,0.08712923308234342,1.0,0.03607742821679345
r1dvbs7kdxq4md,h4,24.0,UWBF_24961,Experiment,1e-05,7211,60000,120183.33333,0.9937595340452088,0.07875520723997324,1.0,0.035002550428299826
r1dvbs7kdxq4md,h5,24.0,UWBF_24961,Experiment,2.5e-05,13460,60000,224333.33333000002,0.9945022288261516,0.07394560110723182,1.0,0.03960075362780792
r1dvbs7kdxq4md,h6,24.0,UWBF_24961,Experiment,4e-05,30000,40000,750000.0,0.9922,0.08797396194669982,0.0,0.05833234498523378
r1dvbs7kdxq4md,h7,24.0,UWBF_24961,Experiment,5.9999999999999995e-05,23209,60000,386816.66667,0.9967254082468008,0.05713151002340287,1.0,0.04194126292073061
r1dvbs7kdxq4md,h8,24.0,UWBF_24961,Experiment,8e-05,30000,40000,750000.0,0.9927333333333334,0.08493587400098934,0.0,0.05015363020155778
r1dvbs7kdxq4md,h9,24.0,UWBF_24961,Experiment,0.0001,19094,60000,318233.33333,0.996438671834084,0.05957206533825109,1.0,0.0423806329220006
r1dvbs8vu72tbp,a11,24.0,UWBF_24926,Experiment,0.0004,25443,60000,424050.0,0.9974059662775616,0.05086655488353453,1.0,0.0414380615197029
r1dvbs8vu72tbp,a8,24.0,UWBF_24926,Experiment,8e-05,233,60000,3883.3333299999995,0.96137339055794,0.1931182471760084,1.0,0.0359725497389237
r1dvbs8vu72tbp,b11,24.0,UWBF_24952,Experiment,0.0004,30000,28000,1071428.57143,0.9951666666666666,0.06935511920524827,0.0,0.058457325597060975
r1dvbs8vu72tbp,b2,22.0,UWBF_24864,Control,0.0,198,60000,3300.0,0.9040404040404041,0.2952824310643411,0.0,0.03714642718842725
r1dvbs8vu72tbp,b6,24.0,UWBF_24952,Experiment,4e-05,17382,60000,289700.0,0.997986422736164,0.04482899046934416,1.0,0.040556578798177007
r1dvbs8vu72tbp,c2,22.0,UWBF_24864,Control,0.0,46,60000,766.6666700000003,0.7391304347826086,0.4439610898213516,0.0,0.03682381996796126
r1dvbs8vu72tbp,c4,24.0,UWBF_24959,Experiment,1e-05,30000,54000,555555.55556,0.9984,0.03996865333952341,1.0,0.04759549317441181
r1dvbs8vu72tbp,c5,24.0,UWBF_24959,Experiment,2.5e-05,30000,30000,1000000.0,0.9967333333333334,0.057062282572279084,0.0,0.062040375408154484
r1dvbs8vu72tbp,d2,22.0,UWBF_24864,Control,0.0,91,60000,1516.6666699999994,0.8461538461538461,0.3628001262733127,0.0,0.03669784823137502
r1dvbs8vu72tbp,d3,24.0,UWBF_24960,Experiment,4e-06,30000,44000,681818.1818199999,0.9976333333333334,0.048591606892180866,0.0,0.05049144504861449
r1dvbs8vu72tbp,d6,24.0,UWBF_24960,Experiment,4e-05,23632,60000,393866.66667,0.9973341232227488,0.051564351932407416,1.0,0.044248896978807385
