,experiment_id,well,cells_ml_mean,cells_ml_std
60,experiment.transcriptic.r1dvbsa7n5qwxe,f10,2267031.2143975003,917477.8199964274
61,experiment.transcriptic.r1dvbsa7n5qwxe,f11,2333333.3333325,781735.9599691503
62,experiment.transcriptic.r1dvbsa7n5qwxe,f12,2003267.3160175001,1093667.9588449635
63,experiment.transcriptic.r1dvbsa7n5qwxe,f3,2250000.0,866025.4037844386
64,experiment.transcriptic.r1dvbsa7n5qwxe,f4,2361343.3667775,833488.2854985226
65,experiment.transcriptic.r1dvbsa7n5qwxe,f5,1994747.89916,803721.7687671131
66,experiment.transcriptic.r1dvbsa7n5qwxe,f6,2293619.424055,750203.5869089173
67,experiment.transcriptic.r1dvbsa7n5qwxe,f7,2175137.3626375003,719928.315021999
68,experiment.transcriptic.r1dvbsa7n5qwxe,f8,2420673.0769225,466346.15384634025
69,experiment.transcriptic.r1dvbsa7n5qwxe,f9,2267361.948395,869845.5942763834
70,experiment.transcriptic.r1dvbsa7n5qwxe,g1,274684.0686275,413243.3632238561
71,experiment.transcriptic.r1dvbsa7n5qwxe,g10,1953185.703185,710884.0576817475
72,experiment.transcriptic.r1dvbsa7n5qwxe,g11,1739035.0877200002,719739.3812030775
73,experiment.transcriptic.r1dvbsa7n5qwxe,g12,1650432.9004350002,353185.47342235444
74,experiment.transcriptic.r1dvbsa7n5qwxe,g3,1997994.652405,1130526.847087311
75,experiment.transcriptic.r1dvbsa7n5qwxe,g4,2144886.363635,1018905.9502217716
76,experiment.transcriptic.r1dvbsa7n5qwxe,g5,2046703.2967025,656472.7002925557
77,experiment.transcriptic.r1dvbsa7n5qwxe,g6,2341238.4716725,880314.4450455961
78,experiment.transcriptic.r1dvbsa7n5qwxe,g7,2345779.2207775,620786.8055465412
79,experiment.transcriptic.r1dvbsa7n5qwxe,g8,2082917.0829174998,666454.2245107591
80,experiment.transcriptic.r1dvbsa7n5qwxe,g9,2449217.449215,800150.6731736709
81,experiment.transcriptic.r1dvbsa7n5qwxe,h1,45375.0,71645.35665314438
82,experiment.transcriptic.r1dvbsa7n5qwxe,h10,313916.666665,457701.75737564336
83,experiment.transcriptic.r1dvbsa7n5qwxe,h11,98850.0,136083.063547767
84,experiment.transcriptic.r1dvbsa7n5qwxe,h12,705207.900435,604524.940856555
85,experiment.transcriptic.r1dvbsa7n5qwxe,h3,826587.3563225,890209.2831586392
86,experiment.transcriptic.r1dvbsa7n5qwxe,h4,1229486.3190725,1239222.7789687829
87,experiment.transcriptic.r1dvbsa7n5qwxe,h5,674566.6666675,846992.2632905471
88,experiment.transcriptic.r1dvbsa7n5qwxe,h6,1592532.4675325002,1022287.4062669876
89,experiment.transcriptic.r1dvbsa7n5qwxe,h7,858903.2051275,898486.5480094127
90,experiment.transcriptic.r1dvbsa7n5qwxe,h8,1778221.7782224999,910105.8106219079
91,experiment.transcriptic.r1dvbsa7n5qwxe,h9,228704.76190499996,328445.17934201896
92,experiment.transcriptic.r1dvbs8vu72tbp,a1,1194745.8333325,1174607.1908724918
93,experiment.transcriptic.r1dvbs8vu72tbp,a10,788641.666665,1142543.6055796093
94,experiment.transcriptic.r1dvbs8vu72tbp,a11,114979.166665,206085.5253859494
95,experiment.transcriptic.r1dvbs8vu72tbp,a12,2178571.4285725,642857.1428575926
96,experiment.transcriptic.r1dvbs8vu72tbp,a2,1091.6666675,1125.668526986585
97,experiment.transcriptic.r1dvbs8vu72tbp,a3,673460.5769225,1089698.9434424716
98,experiment.transcriptic.r1dvbs8vu72tbp,a4,467024.3421050001,741720.5246960188
99,experiment.transcriptic.r1dvbs8vu72tbp,a5,626743.45238,1011628.7360855765
100,experiment.transcriptic.r1dvbs8vu72tbp,a6,589170.833335,941168.2101952641
101,experiment.transcriptic.r1dvbs8vu72tbp,a7,1237851.5151499999,1276225.7679646164
102,experiment.transcriptic.r1dvbs8vu72tbp,a8,1758.3333324999999,1534.5707543093217
103,experiment.transcriptic.r1dvbs8vu72tbp,a9,623666.666665,919890.2611694884
104,experiment.transcriptic.r1dvbs8vu72tbp,b1,1495914.0151499999,1294339.1350582868
105,experiment.transcriptic.r1dvbs8vu72tbp,b10,992695.1754375001,935989.321164644
106,experiment.transcriptic.r1dvbs8vu72tbp,b11,319298.8095225,503090.3669149111
107,experiment.transcriptic.r1dvbs8vu72tbp,b12,1375649.592075,1329621.3072905666
108,experiment.transcriptic.r1dvbs8vu72tbp,b2,2683.3333325,2967.322023512484
109,experiment.transcriptic.r1dvbs8vu72tbp,b3,505663.9705875,839702.4965205445
110,experiment.transcriptic.r1dvbs8vu72tbp,b4,1245076.4705875,1071014.2121655536
111,experiment.transcriptic.r1dvbs8vu72tbp,b5,429659.52381,668609.6133942511
112,experiment.transcriptic.r1dvbs8vu72tbp,b6,79070.833335,140442.66681360453
113,experiment.transcriptic.r1dvbs8vu72tbp,b7,1431711.713285,1127448.8042026246
114,experiment.transcriptic.r1dvbs8vu72tbp,b8,782226.51515,1297019.5733560591
115,experiment.transcriptic.r1dvbs8vu72tbp,b9,2592074.5920725,577110.2331155232
116,experiment.transcriptic.r1dvbs8vu72tbp,c1,516758.3333325,905567.4877712793
117,experiment.transcriptic.r1dvbs8vu72tbp,c10,1004235.5769225,1090013.6002004829
118,experiment.transcriptic.r1dvbs8vu72tbp,c11,586404.1666675,944121.3432654444
119,experiment.transcriptic.r1dvbs8vu72tbp,c12,1029262.5,1086873.9345937427
120,experiment.transcriptic.r1dvbs8vu72tbp,c2,1529.1666675000001,2163.6463986131103
121,experiment.transcriptic.r1dvbs8vu72tbp,c3,426903.5087700001,768070.7674126545
122,experiment.transcriptic.r1dvbs8vu72tbp,c4,168638.88889,258626.54101482828
123,experiment.transcriptic.r1dvbs8vu72tbp,c5,292641.6666675,471942.3463094978
124,experiment.transcriptic.r1dvbs8vu72tbp,c6,582629.166665,946249.9953898127
